station_id,line_id,station_code,station_name_en,station_name_th,sequence,latitude,longitude,opening_year,first_train,last_train,source_file
YL05,MRT_YELLOW,YL05,,ลาดพร้าว 83,5,,,,,,gemini-code-1781773096961.md
YL06,MRT_YELLOW,YL06,,มหาดไทย,6,,,,,,gemini-code-1781773096961.md
YL07,MRT_YELLOW,YL07,,ลาดพร้าว 101,7,,,,,,gemini-code-1781773096961.md
YL08,MRT_YELLOW,YL08,,บางกะปิ,8,,,,,,gemini-code-1781773096961.md
YL09,MRT_YELLOW,YL09,,แยกลำสาลี,9,,,,,,gemini-code-1781773096961.md
YL10,MRT_YELLOW,YL10,,ศรีกรีฑา,10,,,,,,gemini-code-1781773096961.md
YL11,MRT_YELLOW,YL11,,หัวหมาก,11,,,,,,gemini-code-1781773096961.md
YL12,MRT_YELLOW,YL12,,กลันตัน,12,,,,,,gemini-code-1781773096961.md
YL13,MRT_YELLOW,YL13,,ศรีนุช,13,,,,,,gemini-code-1781773096961.md
YL14,MRT_YELLOW,YL14,,ศรีนครินทร์ 38,14,,,,,,gemini-code-1781773096961.md
YL15,MRT_YELLOW,YL15,,สวนหลวง ร.9,15,,,,,,gemini-code-1781773096961.md
YL16,MRT_YELLOW,YL16,,ศรีอุดม,16,,,,,,gemini-code-1781773096961.md
YL17,MRT_YELLOW,YL17,Si Iam,ศรีเอี่ยม,17,13.6681,100.6644,2023,06:00,00:00,gemini-code-1781773096961.md
YL18,MRT_YELLOW,YL18,,ศรีลาซาล,18,,,,,,gemini-code-1781773096961.md
YL19,MRT_YELLOW,YL19,,ศรีแบริ่ง,19,,,,,,gemini-code-1781773096961.md
YL20,MRT_YELLOW,YL20,,ศรีด่าน,20,,,,,,gemini-code-1781773096961.md
YL21,MRT_YELLOW,YL21,,ศรีเทพา,21,,,,,,gemini-code-1781773096961.md
YL22,MRT_YELLOW,YL22,,ทิพวัล,22,,,,,,gemini-code-1781773096961.md
YL23,MRT_YELLOW,YL23,Samrong,สำโรง,23,13.647363,100.596153,2023,06:00,00:00,gemini-code-1781773096961.md
